model_label,block_id,branches,per_branch_candidate_counts,combination_count,existing_latency_ms,global_opt_latency_ms,absolute_reduction_ms,reduction_percent_vs_existing,bottleneck_stage,status
InceptionV3,Mixed_7c,6,"[3, 6, 4, 9, 4, 5]",12960,26.793359922207,24.348139898298086,2.445220023908913,9.126216461871413,tx,evaluated
InceptionV3,Mixed_7b,6,"[3, 6, 4, 9, 4, 5]",12960,26.12675996865988,23.84193994375482,2.284820024905059,8.745133448027213,tx,evaluated
InceptionV3,Mixed_6e,4,"[3, 9, 15, 5]",2025,56.501279936085936,54.78928005500465,1.711999881081283,3.030019643834426,tx,evaluated
InceptionV3,Mixed_6c,4,"[3, 9, 15, 5]",2025,50.49496031679421,49.22876016317144,1.2662001536227763,2.507577282324645,tx,evaluated
InceptionV3,Mixed_6d,4,"[3, 9, 15, 5]",2025,50.190059857780334,49.1010598310849,1.0890000266954303,2.1697523967519565,tx,evaluated
InceptionV3,Mixed_6b,4,"[3, 9, 15, 5]",2025,43.89223988150894,43.10153991432577,0.7906999671831727,1.8014573175525752,tx,evaluated
InceptionV3,Mixed_5c,4,"[3, 6, 9, 5]",810,71.50979996324331,71.44009995638207,0.06970000686123967,0.09746916771836324,tx,evaluated
InceptionV3,Mixed_5b,4,"[3, 6, 9, 5]",810,70.42029981632531,70.36499980269745,0.05530001362785697,0.07852851205134595,tx,evaluated
InceptionV3,Mixed_6a,3,"[3, 9, 2]",54,47.38730006067976,47.34350001820326,0.04380004247650504,0.09242991776365986,tx,evaluated
InceptionV3,Mixed_5d,4,"[3, 6, 9, 5]",810,70.67690008218214,70.64040003708378,0.03650004509836435,0.051643528587024326,tx,evaluated
ResNet18,layer1.0,1,[7],7,66.6286800816755,66.6286800816755,0.0,0.0,tx,evaluated
VGG11,features,1,[21],21,72.11896023877323,72.11896023877323,0.0,0.0,device,evaluated
ResNet18,layer2.0,2,"[5, 4]",20,33.182040110282,33.182040110282,0.0,0.0,tx,evaluated
ResNet18,layer1.1,1,[7],7,66.12467996926114,66.12467996926114,0.0,0.0,tx,evaluated
ResNet18,layer4.1,1,[7],7,10.094660193905083,10.094660193905083,0.0,0.0,tx,evaluated
ResNet18,layer4.0,2,"[5, 4]",20,9.64275995433688,9.64275995433688,0.0,0.0,tx,evaluated
ResNet18,layer2.1,1,[7],7,33.25204017763525,33.25204017763525,0.0,0.0,tx,evaluated
ResNet18,layer3.0,2,"[5, 4]",20,17.998920007168948,17.998920007168948,0.0,0.0,tx,evaluated
ResNet18,layer3.1,1,[7],7,18.022320243555757,18.022320243555757,0.0,0.0,tx,evaluated
InceptionV3,Mixed_7a,3,"[6, 12, 2]",144,14.760460029970703,14.760460029970703,0.0,0.0,device,evaluated
